date,Bakso Goreng,Mie Ayam,Bakso Keju,is_holiday
1569281321,587,361,321,0
1570283531,592,317,323,0
1574868900,598,346,343,0
1571068584,605,330,317,0
1568171695,595,317,345,0
1570310848,631,353,328,0
1572171177,611,317,344,0
1568985487,596,354,337,0
1567312511,578,343,342,0
1573975451,575,336,322,0
1571085684,584,353,317,0
1570372983,589,363,333,0
1570266639,591,351,334,0
1573061610,575,336,325,0
1572596289,577,370,333,0
1573016701,582,389,303,0
1574258545,603,336,354,0
1572462695,610,373,320,0
1569942791,583,371,315,0
1574361669,571,345,284,0
1570755880,555,337,331,0
1568364582,589,331,333,0
1567386933,610,360,346,1
1574730015,597,373,319,0
1575027404,577,327,341,0
1567346152,575,348,345,0
1572632302,603,325,335,0
1567409902,634,354,335,0
1567297240,611,336,312,0
1567360417,599,356,331,0
1568855256,574,296,366,0
1570617052,600,376,376,0
1569368133,611,342,332,0
1573247180,557,383,299,0
1573574069,543,365,334,0
1567855549,572,321,361,0
1569750642,530,374,336,0
1573453331,620,349,327,1
1572561567,591,356,329,0
1570023053,577,358,333,0
1573350445,598,301,333,0
1571738523,589,368,347,0
1573041191,572,336,308,0
1570743708,556,362,313,1
1572230176,643,343,333,0
1574019937,618,310,321,0
1571544205,578,313,341,0
1572301887,561,332,332,0
1569870378,581,360,334,0
1571865268,578,322,301,0
1569707889,583,349,303,0
1571263001,593,374,336,0
1569062245,604,317,380,0
1568216822,519,337,336,0
1569361905,672,369,315,0
1572438699,617,359,342,0
1571871092,597,371,306,0
1574606705,590,342,328,0
1568216140,561,329,327,0
1570892725,534,351,340,1
1569563317,588,320,328,0
1568221298,536,344,285,0
1568785134,554,347,340,0
1574615729,626,343,342,0
1569536928,568,326,356,1
1570026699,583,349,337,0
1572984298,613,362,354,0
1568045692,616,341,321,0
1567301806,576,372,324,0
1570005459,622,362,323,0
1573420804,604,338,314,0
1574259887,613,346,308,0
1571220657,575,352,338,0
1571155689,624,338,342,1
1570952210,626,332,343,0
1568591698,567,346,325,1
1570621708,618,322,331,0
1573964812,573,332,322,0
1573975513,574,362,342,0
1568135760,617,361,318,0
1572112074,569,342,302,0
1572877792,577,346,313,0
1567723776,554,359,325,0
1569198974,600,352,369,1
1573698243,607,321,314,0
1572725124,603,335,280,1
1571767468,545,329,335,0
1571862414,571,312,311,0
1573174547,604,331,367,0
1571825262,589,356,315,0
1569405273,628,380,330,0
1572878206,571,368,333,0
1569485155,561,351,348,1
1571481650,546,340,316,0
1570561167,584,368,357,0
1568525405,604,355,326,0
1570138299,533,380,336,0
1573754088,622,354,375,0
1567579704,557,348,328,0
1567594343,591,335,344,1
1569159984,589,307,330,0
1572296573,585,333,326,0
1567656797,539,325,350,0
1569400001,560,357,353,0
1574578243,609,375,365,1
1573437488,602,317,322,1
1567363130,575,302,346,0
1575154990,565,335,312,0
1575055918,547,341,321,0
1567908951,598,342,315,0
1574750397,577,332,308,0
1570305463,614,370,336,0
1569071041,606,370,329,1
1573903423,594,344,322,0
1570649797,600,307,352,1
1572460977,589,339,357,0
1570522370,571,357,342,0
1573661127,572,329,336,0
1570540074,550,298,342,0
1570603194,604,335,343,0
1574318667,510,333,363,0
1568405294,601,327,332,0
1574776984,618,356,314,0
1574701745,542,354,300,0
1574689050,547,338,361,0
1567973691,614,330,358,0
1573161773,565,357,331,0
1573363205,581,344,345,0
1568161570,597,330,323,0
1573323073,604,345,360,0
1570035580,584,346,320,0
1572683548,575,333,336,0
1572375360,589,362,336,0
1569210389,587,341,347,0
1573425140,560,340,330,0
1572087181,579,350,329,0
1572506608,543,358,339,0
1573953744,618,309,325,0
1574520572,540,313,331,0
1572993085,577,327,318,1
1569311752,587,368,343,0
1571702388,608,352,336,1
1573542101,581,358,339,1
1575144528,570,350,333,1
1567506601,602,380,340,0
1571364961,591,343,341,0
1570266793,555,331,334,0
1573891863,570,337,309,0
1574320709,599,345,335,1
1571549807,580,311,317,0
1571307637,592,351,332,0
1571715088,613,325,355,1
1570261511,615,342,353,0
1573318903,612,336,324,0
1570288129,555,320,331,0
1574377499,581,296,325,0
1572293485,569,321,326,0
1574597749,520,345,379,0
1573797796,628,310,345,0
